post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
165616726.all-about-psychology-newsletter-d57,2025-06-10T15:04:24.609Z,true,2025-06-10T15:04:24.712Z,2025-06-10T15:04:24.712Z,newsletter,everyone,All About Psychology Newsletter,The Psychology of Trust. The Ethics Debate That Changed Psychology. The Fear of Doing Nothing. Hallucinatory obliviousness.,
165091132.the-isolator,2025-06-03T12:53:06.797Z,true,2025-06-03T12:53:06.891Z,2025-06-03T12:53:06.891Z,newsletter,everyone,The Isolator,The Eccentric Productivity Hack That Was Decades Ahead of Its Time,
164630850.satanic-messages-in-music,2025-05-28T13:03:41.622Z,true,2025-05-28T13:03:41.706Z,2025-05-28T13:03:41.706Z,newsletter,everyone,Satanic Messages in Music?,"The strange psychology of backmasking, belief, and auditory illusion",
163792217.the-woman-who-feels-no-fear,2025-05-18T13:01:34.819Z,true,2025-05-18T13:01:34.916Z,2025-05-18T13:01:34.916Z,newsletter,everyone,The Woman Who Feels No Fear,The Incredible Case of S.M.,
163315509.all-about-psychology-newsletter-1d9,2025-05-11T12:14:24.178Z,true,2025-05-11T12:14:24.297Z,2025-05-11T12:14:24.297Z,newsletter,everyone,All About Psychology Newsletter,"The Psychology of Friendship. Wonder Woman, Lie Detectors & The Coolest Psychologist of the 20th Century. Chronic Stress.",
162963787.the-psychology-of-daydreaming,2025-05-06T14:00:04.667Z,true,2025-05-06T14:00:04.788Z,2025-05-06T14:00:04.788Z,newsletter,everyone,The Psychology of Daydreaming,Why Your Mind Wanders and What It Means,
162253208.all-about-psychology-newsletter-cf0,2025-04-27T12:45:01.879Z,true,2025-04-27T12:45:01.999Z,2025-04-27T12:45:01.999Z,newsletter,everyone,All About Psychology Newsletter,Psychological Torture. The Curious Case of Clever Hans. Social Identity Theory,
161726659.what-kind-of-introvert-are-you,2025-04-20T11:59:13.518Z,true,2025-04-20T11:59:13.587Z,2025-04-20T11:59:13.587Z,newsletter,everyone,What Kind of Introvert Are You?,Exploring the Four Shades of Introversion,
161221614.all-about-psychology-newsletter-4f6,2025-04-13T11:59:13.780Z,true,2025-04-13T11:59:13.855Z,2025-04-13T11:59:13.855Z,newsletter,everyone,All About Psychology Newsletter,Aloneness vs Loneliness. Freud Reaches Out to Jung. Obedience to Authority.,
160647057.psychology-visualized,2025-04-05T14:34:28.109Z,true,2025-04-05T14:34:28.172Z,2025-04-05T14:34:28.172Z,newsletter,everyone,"Psychology, Visualized",I'm Breathing New Life Into My YouTube Channel,
